author_id,year_first,year_last,BES_delta,years_active,mean_degree_active_years,mean_papers_active_years
https://openalex.org/A5081974926,2018,2024,0.8611111111111112,3,11.666666666666666,2.333333333333333
https://openalex.org/A5003030575,2019,2021,0.8333333333333334,2,61.5,1.5
https://openalex.org/A5035360576,2022,2025,0.78125,2,4.5,1.0
https://openalex.org/A5041134366,2022,2025,0.78125,4,24.5,1.0
https://openalex.org/A5024064130,2018,2021,0.7592592592592593,2,58.0,1.0
https://openalex.org/A5071367198,2021,2025,0.7512426035502958,4,20.5,1.75
https://openalex.org/A5083427830,2018,2023,0.75,5,17.2,1.0
https://openalex.org/A5101424852,2019,2024,0.7492033293697978,4,32.75,1.5
https://openalex.org/A5078692182,2022,2024,0.736455463728191,2,64.0,2.0
https://openalex.org/A5028041569,2021,2025,0.7346938775510203,4,15.25,1.0
