pair,author_id,n_papers,mean_CPR,is_bridge
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5044264078,29,3.6628275862068964,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5070378593,16,2.3150625000000002,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5062508940,15,1.392,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5028843362,12,3.086833333333333,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5081018868,9,3.1470000000000002,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5086611360,9,1.9914444444444444,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5003326991,9,1.2201111111111111,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5047160510,8,4.017625,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5055324617,8,1.779,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5080521235,8,1.148625,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5007050438,7,4.103428571428572,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5071844066,7,2.084,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5024369927,7,1.7067142857142856,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5091113989,7,1.5862857142857145,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5057742472,6,2.8233333333333337,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5007033513,6,2.1761666666666666,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5004588687,6,2.0641666666666665,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5005437803,6,1.7863333333333333,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5033730022,6,1.508,True
"('Agricultural and Biological Sciences', 'Environmental Science')",https://openalex.org/A5068567739,6,1.4538333333333335,True
