pair,author_id,n_papers,mean_CPR,is_bridge
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5008835562,4,4.545,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5004319733,3,1.1943333333333335,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5031889135,2,13.207999999999998,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5034464331,2,3.7359999999999998,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5029745553,2,1.3045,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5085508347,2,1.3045,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5043169384,2,0.42000000000000004,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5061127602,2,0.42000000000000004,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5026459900,1,22.516,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5049783191,1,22.516,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5079007877,1,22.516,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5108525767,1,22.516,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5034707578,1,8.42,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5058082625,1,8.42,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5028707065,1,8.022,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5047441756,1,8.022,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5072093984,1,8.022,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5043064717,1,7.529,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5000852934,1,5.218,True
"('Agricultural and Biological Sciences', 'Nursing')",https://openalex.org/A5028819015,1,5.218,True
