pair,author_id,n_papers,mean_CPR,is_bridge
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5017914184,2,1.707,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5043074491,2,1.5510000000000002,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5027519870,2,1.3045,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5028651649,2,0.2425,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5048293280,2,0.2425,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5023325806,1,5.4,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5034551264,1,4.636,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5100684663,1,4.4,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5006065354,1,3.642,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5084294553,1,3.085,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5019513024,1,2.914,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5038121718,1,2.697,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5044784904,1,2.697,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5001885115,1,1.662,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5052952633,1,1.662,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5100756885,1,1.449,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5033736827,1,1.154,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5102886709,1,0.154,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5054704736,1,0.104,True
"('Arts and Humanities', 'Social Sciences')",https://openalex.org/A5081808595,1,0.104,True
