pair,author_id,n_papers,mean_CPR,is_bridge
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5091595592,11,5.061090909090908,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5087926553,10,1.6245,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5083647614,8,4.4575000000000005,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5059435501,7,5.399142857142857,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5020278481,7,3.9574285714285717,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5026299103,7,3.104714285714286,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5082643388,7,1.32,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5064938000,6,18.56383333333333,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5026016872,6,3.644,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5061159858,6,3.6374999999999997,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5020082525,6,3.4034999999999997,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5100437787,6,3.3601666666666663,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5028234430,6,3.3488333333333333,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5063426870,6,3.2883333333333336,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5018642661,6,3.282833333333333,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5036255260,6,3.2125,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5081527874,6,2.618,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5040384200,6,2.2993333333333332,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5038753777,6,1.8343333333333334,True
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",https://openalex.org/A5070153307,6,1.5088333333333332,True
