pair,author_id,n_papers,mean_CPR,is_bridge
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5019729892,2,21.852,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5082997556,2,21.852,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5005629692,2,11.171,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5032344410,2,11.171,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5038454257,2,8.6015,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5051258190,2,8.6015,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5049893427,2,5.0805,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5074137560,2,0.866,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5034205694,1,41.304,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5050370220,1,17.4,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5008438443,1,12.923,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5034892654,1,9.419,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5049783191,1,9.419,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5057184655,1,9.419,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5079007877,1,9.419,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5087393973,1,8.231,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5013386826,1,7.345,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5006629253,1,7.121,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5088453625,1,6.794,True
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')",https://openalex.org/A5061161683,1,5.714,True
