pair,author_id,n_papers,mean_CPR,is_bridge
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5034617878,4,15.404,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5041142252,4,15.404,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5078171708,3,23.876666666666665,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5067118759,3,23.38433333333333,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5008056593,3,3.4066666666666667,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5067519537,3,1.5046666666666668,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5048705669,2,12.708,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5060194743,2,8.565999999999999,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5060540398,2,8.052,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5047783794,2,7.562,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5069998604,2,7.562,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5076855632,2,7.562,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5001362889,2,5.926,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5006428406,2,5.926,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5062247330,2,4.5465,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5070063054,2,4.4485,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5075769472,2,4.2595,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5084415954,2,4.0935,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5078240493,2,2.261,True
"('Computer Science', 'Decision Sciences')",https://openalex.org/A5074056939,2,1.9535,True
