pair,author_id,n_papers,mean_CPR,is_bridge
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5070446713,13,1.0414615384615384,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5050180409,10,0.2901,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5041615321,9,87.00833333333334,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5088017620,8,0.151375,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5054503758,7,0.12328571428571429,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5072760500,5,202.11180000000002,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5015955757,4,256.50825000000003,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5025056096,3,9.501666666666667,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5067986546,3,8.638333333333334,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5014947573,3,4.188666666666667,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5049611346,2,501.788,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5001994412,2,14.238,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5039443786,2,14.238,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5039632207,2,14.238,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5040589473,2,14.238,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5008347960,2,13.555499999999999,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5021335144,2,13.555499999999999,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5070094081,2,10.1725,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5016587367,2,9.301499999999999,True
"('Decision Sciences', 'Economics, Econometrics and Finance')",https://openalex.org/A5028121535,2,9.301499999999999,True
