pair,author_id,n_papers,mean_CPR,is_bridge
"('Decision Sciences', 'Engineering')",https://openalex.org/A5065160500,1,8.75,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5037456453,1,3.46,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5050145806,1,3.018,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5051497691,1,2.746,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5073577524,1,2.746,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5036180317,1,2.58,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5011762896,1,1.692,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5039085547,1,1.286,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5083734796,1,1.286,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5000663216,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5005876195,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5012550794,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5023815396,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5027849780,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5042746575,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5051394029,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5057571908,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5062581654,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5081735500,1,1.143,True
"('Decision Sciences', 'Engineering')",https://openalex.org/A5082646301,1,1.143,True
