pair,author_id,n_papers,mean_CPR,is_bridge
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5022102306,1,9.545,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5070533860,1,9.545,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5070604004,1,9.545,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5100338632,1,9.545,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5061279138,1,2.938,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5074743574,1,2.938,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5051355898,1,0.871,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5066918469,1,0.803,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5029644342,1,0.534,True
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5085984380,3,0.754,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5058811797,2,0.837,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5003446329,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5005920096,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5007616136,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5012550644,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5013366718,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5016173592,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5018734910,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5024003678,1,9.545,False
"('Immunology and Microbiology', 'Veterinary')",https://openalex.org/A5025930119,1,9.545,False
