pair,author_id,n_papers,mean_CPR,is_bridge
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5046868567,2,0.252,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5049051097,2,0.252,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5101916965,2,0.252,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5103158457,1,3.958,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5101632544,1,3.894,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5015080044,1,2.276,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5080268373,1,1.628,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5034117781,1,1.119,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5059417991,1,1.023,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5077139969,1,1.023,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5051902854,1,0.897,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5025748256,1,0.852,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5022368086,1,0.577,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5058862798,1,0.22,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5063809341,1,0.22,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5059204358,1,0.161,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5012033205,1,0.108,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5027762695,1,0.108,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5077019086,1,0.108,True
"('Mathematics', 'Physics and Astronomy')",https://openalex.org/A5080265556,1,0.108,True
