pair,author_id,n_papers,mean_CPR,is_bridge
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5033626728,1,0.959,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5037088678,1,0.959,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5018061374,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5021113675,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5066321584,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5078305812,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5109395413,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5113001872,1,0.038,True
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5004184164,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5004776823,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5010021709,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5027585674,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5028997907,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5030962207,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5032661928,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5035267514,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5062021934,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5086745178,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5089101853,1,0.959,False
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",https://openalex.org/A5090672084,1,0.959,False
