pair,field_i,field_j,obs_slope,years_covered,year_first,year_last,null_mean,null_std,z,p_one_sided,q_fdr
"('Mathematics', 'Physics and Astronomy')",Mathematics,Physics and Astronomy,0.013576593718018653,8,2018,2025,0.00029302660446772115,0.001911090060350042,6.950780284586832,0.0033222591362126247,0.035852713178294575
"('Chemical Engineering', 'Energy')",Chemical Engineering,Energy,0.010209289193248188,8,2018,2025,3.337030355080611e-05,0.002755351349470058,3.6931474788703578,0.0033222591362126247,0.035852713178294575
"('Engineering', 'Materials Science')",Engineering,Materials Science,0.00941126503631767,8,2018,2025,0.001232231285820733,0.0020130672535736806,4.062970939484101,0.0033222591362126247,0.035852713178294575
"('Computer Science', 'Social Sciences')",Computer Science,Social Sciences,0.009283853701820282,8,2018,2025,-0.001736186645771208,0.0020940589407634448,5.262526346834269,0.0033222591362126247,0.035852713178294575
"('Agricultural and Biological Sciences', 'Nursing')",Agricultural and Biological Sciences,Nursing,0.00839150984554681,8,2018,2025,0.0006877932605962324,0.0017839625184169188,4.318317512515243,0.0033222591362126247,0.035852713178294575
"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')","Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,0.00738765353719685,8,2018,2025,0.0010024437743368301,0.0020384371637538375,3.1324045089040085,0.0033222591362126247,0.035852713178294575
"('Computer Science', 'Medicine')",Computer Science,Medicine,0.006732595672069239,8,2018,2025,-0.0043598127338982775,0.0018527507093224747,5.986994553640655,0.0033222591362126247,0.035852713178294575
"('Pharmacology, Toxicology and Pharmaceutics', 'Veterinary')","Pharmacology, Toxicology and Pharmaceutics",Veterinary,0.006472970397304987,8,2018,2025,9.697028008155867e-05,0.0015689893022164609,4.0637626453005495,0.0033222591362126247,0.035852713178294575
"('Chemical Engineering', 'Engineering')",Chemical Engineering,Engineering,0.0059880831825338265,8,2018,2025,0.0005097038880585747,0.0019543974963023465,2.8031039258084185,0.0033222591362126247,0.035852713178294575
"('Engineering', 'Environmental Science')",Engineering,Environmental Science,0.005860597145261187,8,2018,2025,0.0019320858519816827,0.002127452654768716,1.8465798919067313,0.0033222591362126247,0.035852713178294575
"('Computer Science', 'Psychology')",Computer Science,Psychology,0.005677123732537605,8,2018,2025,-0.002226586774652269,0.001924040569746172,4.107871024898694,0.0033222591362126247,0.035852713178294575
"('Agricultural and Biological Sciences', 'Environmental Science')",Agricultural and Biological Sciences,Environmental Science,0.005398125355232803,8,2018,2025,0.001597082740349686,0.0022351512033646267,1.700575159819755,0.0033222591362126247,0.035852713178294575
"('Chemistry', 'Psychology')",Chemistry,Psychology,0.004944832077055671,8,2018,2025,0.00036677846071761847,0.0022612769016490714,2.024543572261953,0.0033222591362126247,0.035852713178294575
"('Arts and Humanities', 'Social Sciences')",Arts and Humanities,Social Sciences,0.004773379040252884,8,2018,2025,0.0004875201691837951,0.0008640488455691295,4.96020438317476,0.0033222591362126247,0.035852713178294575
"('Chemical Engineering', 'Chemistry')",Chemical Engineering,Chemistry,0.004708766069885605,8,2018,2025,0.0006706787992101533,0.0015600736951441319,2.588395204178083,0.0033222591362126247,0.035852713178294575
"('Computer Science', 'Materials Science')",Computer Science,Materials Science,0.00400086091628896,8,2018,2025,-0.001053979246243332,0.0020225568584249704,2.4992326625955315,0.0033222591362126247,0.035852713178294575
"('Decision Sciences', 'Engineering')",Decision Sciences,Engineering,0.003918494104616049,8,2018,2025,-0.0003064502025556744,0.0019732349495028578,2.141125823985718,0.0033222591362126247,0.035852713178294575
"('Energy', 'Materials Science')",Energy,Materials Science,0.0039134493980711085,8,2018,2025,0.0005944618174760582,0.0019844992672740846,1.6724559365315481,0.0033222591362126247,0.035852713178294575
"('Business, Management and Accounting', 'Computer Science')","Business, Management and Accounting",Computer Science,0.0036974981821383964,8,2018,2025,-0.0010965791571953317,0.001817167125588673,2.6382148740340448,0.0033222591362126247,0.035852713178294575
"('Immunology and Microbiology', 'Veterinary')",Immunology and Microbiology,Veterinary,0.0030376353662945363,8,2018,2025,-0.00013345148430441944,0.00203617195135476,1.557376747326808,0.0033222591362126247,0.035852713178294575
"('Business, Management and Accounting', 'Economics, Econometrics and Finance')","Business, Management and Accounting","Economics, Econometrics and Finance",0.0030160229394546787,8,2018,2025,-0.00026642916202024904,0.0019127447893063452,1.7160951737138468,0.0033222591362126247,0.035852713178294575
"('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",Nursing,"Pharmacology, Toxicology and Pharmaceutics",0.002984599050300799,8,2018,2025,0.00026893346803203707,0.0016783587350883778,1.6180483501495062,0.0033222591362126247,0.035852713178294575
"('Decision Sciences', 'Economics, Econometrics and Finance')",Decision Sciences,"Economics, Econometrics and Finance",0.002951569468481054,8,2018,2025,-0.0006635633327244093,0.00193735161546432,1.8660179042094192,0.0033222591362126247,0.035852713178294575
"('Computer Science', 'Decision Sciences')",Computer Science,Decision Sciences,0.002910697990492624,8,2018,2025,-0.0018211746950007354,0.0020314074392787486,2.3293567769808954,0.0033222591362126247,0.035852713178294575
