field_i,field_j,pair,authors_total,authors_bridge,share_bridge_authors,papers_count,cpr_mean,cpr_median,FCA_slope,weight_mean,year_first,year_last
Mathematics,Physics and Astronomy,"('Mathematics', 'Physics and Astronomy')",1121,24,0.021409455842997322,224,1.4465312499999998,0.4945,0.0121966033760406,0.059548192505723,2018,2025
"Pharmacology, Toxicology and Pharmaceutics",Veterinary,"('Pharmacology, Toxicology and Pharmaceutics', 'Veterinary')",66,1,0.015151515151515152,9,1.1188888888888888,0.231,0.0097961928167803,0.0347921831090036,2022,2025
"Biochemistry, Genetics and Molecular Biology",Immunology and Microbiology,"('Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology')",42317,3564,0.08422147127631921,2983,2.752024472008046,1.123,0.0073876535371968,0.1887768196039327,2018,2025
Computer Science,Medicine,"('Computer Science', 'Medicine')",19443,1392,0.07159388983181608,1983,4.701622793746848,1.609,0.0067325956720692,0.0764710256328337,2018,2025
Agricultural and Biological Sciences,Nursing,"('Agricultural and Biological Sciences', 'Nursing')",2159,102,0.047244094488188976,251,1.4694940239043826,0.548,0.0061050082367874,0.0744877734511801,2018,2025
Engineering,Environmental Science,"('Engineering', 'Environmental Science')",19475,739,0.03794608472400513,2527,2.3058749505342298,1.042,0.0058605971452611,0.1291778553522504,2018,2025
Computer Science,Social Sciences,"('Computer Science', 'Social Sciences')",6216,176,0.028314028314028315,1203,3.9487946799667495,1.714,0.0054948416869913,0.1155120650214798,2018,2025
Health Professions,Medicine,"('Health Professions', 'Medicine')",27136,1882,0.06935436320754718,2331,3.874833547833548,1.25,0.0053868913892949,0.1520220114295724,2018,2025
"Biochemistry, Genetics and Molecular Biology",Neuroscience,"('Biochemistry, Genetics and Molecular Biology', 'Neuroscience')",30776,2404,0.07811281518066025,2313,2.050225680933852,0.889,0.0049796166940776,0.1292655119189768,2018,2025
Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology","('Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology')",31712,1420,0.04477800201816347,2531,2.8494326353220067,0.931,0.0044873962659228,0.158846638670889,2018,2025
Chemistry,Psychology,"('Chemistry', 'Psychology')",992,60,0.06048387096774194,115,2.2690347826086956,0.559,0.004476292301833,0.020792757652225,2018,2025
Medicine,Social Sciences,"('Medicine', 'Social Sciences')",16671,1320,0.07917941335252834,1443,4.9497740817740805,1.932,0.0044081705692448,0.0692483898019173,2018,2025
Computer Science,Psychology,"('Computer Science', 'Psychology')",2893,77,0.026615969581749048,577,3.096329289428077,1.5,0.0035831760788108,0.064773121868025,2018,2025
Chemistry,Physics and Astronomy,"('Chemistry', 'Physics and Astronomy')",4232,79,0.018667296786389415,320,1.3557906250000002,0.364,0.0034789035201715,0.0509725936154556,2018,2025
Chemical Engineering,Engineering,"('Chemical Engineering', 'Engineering')",3747,170,0.04536962903656258,482,2.0447780082987554,0.86,0.0032307530293928,0.0827436780526252,2018,2025
Computer Science,Decision Sciences,"('Computer Science', 'Decision Sciences')",4436,189,0.04260595130748422,615,7.839053658536585,2.0,0.0029106979904926,0.1127913766031773,2018,2025
Engineering,Medicine,"('Engineering', 'Medicine')",28815,1901,0.06597258372375499,2445,2.825991411042945,1.216,0.0029083235059137,0.0686798969921008,2018,2025
Computer Science,Materials Science,"('Computer Science', 'Materials Science')",3604,181,0.0502219755826859,478,3.0418138075313808,1.3175,0.0028552347685897,0.036972220310301,2018,2025
"Economics, Econometrics and Finance",Social Sciences,"('Economics, Econometrics and Finance', 'Social Sciences')",3437,148,0.043060808844922895,673,6.83487221396731,1.912,0.0027322501932892,0.1184483580993197,2018,2025
Computer Science,Physics and Astronomy,"('Computer Science', 'Physics and Astronomy')",9618,247,0.025681014763984197,1055,3.416764928909953,1.25,0.0026130253307275,0.1099856815303693,2018,2025
Immunology and Microbiology,Veterinary,"('Immunology and Microbiology', 'Veterinary')",237,9,0.0379746835443038,23,1.0466521739130434,0.279,0.0025931493531466,0.0168910072592413,2018,2025
Decision Sciences,Engineering,"('Decision Sciences', 'Engineering')",1511,29,0.019192587690271344,299,3.2375451505016724,1.163,0.0025647638575245,0.0423011849600331,2018,2025
Nursing,"Pharmacology, Toxicology and Pharmaceutics","('Nursing', 'Pharmacology, Toxicology and Pharmaceutics')",138,8,0.057971014492753624,12,0.3389166666666667,0.087,0.002560085057886,0.0133003079378377,2021,2025
Health Professions,Social Sciences,"('Health Professions', 'Social Sciences')",7227,354,0.048982980489829804,913,3.9012617743702083,1.559,0.0025557528879472,0.1482163917110549,2018,2025
Agricultural and Biological Sciences,Chemistry,"('Agricultural and Biological Sciences', 'Chemistry')",1048,12,0.011450381679389313,152,1.2773684210526315,0.599,0.0021521006846753,0.0252669836751196,2018,2025
Environmental Science,Medicine,"('Environmental Science', 'Medicine')",13873,1038,0.07482159590571615,990,3.2123848484848487,1.0135,0.0021266954193825,0.0365872074479947,2018,2025
Health Professions,Psychology,"('Health Professions', 'Psychology')",5944,255,0.042900403768506054,754,3.0562904509283815,1.3625,0.0020747368439691,0.1368783459756292,2018,2025
Health Professions,Nursing,"('Health Professions', 'Nursing')",1425,63,0.04421052631578947,131,2.936610687022901,0.929,0.0020045605869849,0.0491264272090407,2018,2025
Chemistry,Earth and Planetary Sciences,"('Chemistry', 'Earth and Planetary Sciences')",1322,35,0.0264750378214826,86,1.2690697674418603,0.628,0.0019719350497047,0.0178700509368124,2018,2025
Dentistry,Engineering,"('Dentistry', 'Engineering')",585,6,0.010256410256410256,74,1.6037432432432432,0.502,0.0019271666251454,0.0201686705892608,2018,2025
"Biochemistry, Genetics and Molecular Biology",Environmental Science,"('Biochemistry, Genetics and Molecular Biology', 'Environmental Science')",18937,1035,0.05465490838041929,1545,2.912162459546925,1.025,0.0018311240936064,0.0758741688766435,2018,2025
Agricultural and Biological Sciences,Immunology and Microbiology,"('Agricultural and Biological Sciences', 'Immunology and Microbiology')",2038,113,0.05544651619234544,187,2.514085561497326,0.784,0.0017601866135074,0.0252518669670202,2018,2025
Chemical Engineering,Energy,"('Chemical Engineering', 'Energy')",5117,377,0.07367598202071526,578,2.975455017301038,1.4495,0.0016759028402759,0.2418077941808499,2018,2025
Chemical Engineering,Computer Science,"('Chemical Engineering', 'Computer Science')",661,57,0.08623298033282904,82,3.4449756097560975,1.335,0.0015328595779273,0.0186776240720995,2018,2025
Engineering,Health Professions,"('Engineering', 'Health Professions')",1110,47,0.04234234234234234,173,1.90842774566474,1.017,0.0014891693970927,0.0163642265405512,2018,2025
Chemistry,Decision Sciences,"('Chemistry', 'Decision Sciences')",183,14,0.07650273224043716,18,12.601777777777778,0.11699999999999999,0.0014815718465856,0.007006661120935,2018,2025
