year,field_i,field_j,count_i,count_j,coocc,weight_cosine
2018,"Economics, Econometrics and Finance",Medicine,485,5663,83,0.050082262738695794
2018,Decision Sciences,"Economics, Econometrics and Finance",279,485,46,0.12505033535556018
2018,Decision Sciences,Social Sciences,279,1020,63,0.11809686308369362
2018,"Economics, Econometrics and Finance",Social Sciences,485,1020,89,0.12653744219534294
2018,"Business, Management and Accounting",Computer Science,503,1946,48,0.04851609378251555
2018,"Business, Management and Accounting",Decision Sciences,503,279,60,0.16016409208850735
2018,Computer Science,Decision Sciences,1946,279,85,0.11535738593189059
2018,Medicine,Social Sciences,5663,1020,111,0.04618485793764493
2018,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",869,3912,335,0.1816918704142081
2018,Earth and Planetary Sciences,Engineering,605,3317,82,0.05788465234950805
2018,Earth and Planetary Sciences,Physics and Astronomy,605,889,38,0.051814943485408646
2018,Engineering,Physics and Astronomy,3317,889,227,0.13219110744510212
2018,"Biochemistry, Genetics and Molecular Biology",Medicine,3912,5663,1798,0.38200318466051153
2018,"Biochemistry, Genetics and Molecular Biology",Earth and Planetary Sciences,3912,605,32,0.020800456575032777
2018,"Biochemistry, Genetics and Molecular Biology",Computer Science,3912,1946,131,0.04747887879637442
2018,"Biochemistry, Genetics and Molecular Biology",Engineering,3912,3317,234,0.06495965333769738
2018,Computer Science,Engineering,1946,3317,485,0.19089633252960564
2018,Environmental Science,Medicine,1603,5663,78,0.02588836128079548
2018,Environmental Science,Health Professions,1603,553,36,0.03823606347834286
2018,Health Professions,Medicine,553,5663,264,0.14918256857103496
2018,Materials Science,Physics and Astronomy,1789,889,179,0.14193744399797462
2018,Computer Science,Physics and Astronomy,1946,889,122,0.09275504324193927
2018,Computer Science,Social Sciences,1946,1020,114,0.08091580283416928
2018,Physics and Astronomy,Social Sciences,889,1020,24,0.025203466345080024
2018,Computer Science,Medicine,1946,5663,177,0.05331857913773853
2018,Medicine,Psychology,5663,834,238,0.10951425445083021
2018,Agricultural and Biological Sciences,Medicine,869,5663,120,0.0540938729929965
